,index,r,l,t
64,64,46.806044,18,18.000416040420532
65,65,44.099795,17,18.178105115890503
66,66,44.478578999999996,16,18.317825078964233
67,67,38.648787,13,18.437458038330078
68,68,40.797872,14,18.562407970428467
69,69,47.189338,18,18.725111961364746
70,70,47.189338,18,18.889024019241333
71,71,40.797872,14,19.01175093650818
72,72,42.748096000000004,15,19.14685297012329
73,73,46.259173,17,19.30357789993286
74,74,40.797872,14,19.42728090286255
75,75,49.030111,20,19.597141981124878
76,76,49.954606,20,19.77359700202942
77,77,45.966967,17,19.923151969909668
78,78,45.966967,17,20.08117389678955
79,79,48.120111,19,20.244986057281494
80,80,47.189338,18,20.405517101287842
81,81,40.781284,14,20.533998012542725
82,82,45.388579,17,20.686887979507446
83,83,45.966967,17,20.84018111228943
84,84,42.010259999999995,15,20.990433931350708
85,85,42.507892,15,21.134735107421875
86,86,45.966967,17,21.281178951263428
87,87,46.876967,18,21.437062978744507
88,88,46.058048,17,21.610151052474976
89,89,47.189338,18,21.774154901504517
90,90,49.030111,20,21.949368000030518
91,91,48.120111,19,22.11578607559204
92,92,44.478578999999996,16,22.25614094734192
93,93,48.63669,19,22.4303560256958
94,94,45.966967,17,22.58124303817749
95,95,42.217794,15,22.730489015579224
96,96,49.030111,20,22.913599967956543
97,97,44.225913,16,23.089986085891724
98,98,45.966967,17,23.237133026123047
99,99,44.478578999999996,16,23.380089044570923
100,100,48.120111,19,23.549020051956177
101,101,49.030111,20,23.725018978118896
102,102,42.748096000000004,15,23.860169887542725
103,103,45.972553999999995,17,24.015547037124634
104,104,46.876967,18,24.180294036865234
105,105,48.211789,19,24.357413053512573
106,106,45.966967,17,24.510864973068237
107,107,49.664877000000004,20,24.693238019943237
108,108,42.748096000000004,15,24.828665018081665
109,109,49.030111,20,25.006747007369995
110,110,45.966967,17,25.162168979644775
111,111,47.189338,18,25.323002099990845
112,112,40.797872,14,25.44845700263977
113,113,49.030111,20,25.623555898666382
114,114,47.189338,18,25.788573026657104
115,115,46.830502,18,25.96125602722168
116,116,42.472307,15,26.111406087875366
117,117,51.962428,20,26.309009075164795
118,118,45.966967,17,27.899940967559814
119,119,48.939943,18,28.077441930770874
120,120,44.478578999999996,16,28.217637062072754
121,121,44.478578999999996,16,28.356600046157837
122,122,49.030111,20,28.54428005218506
123,123,36.320336,12,28.652122020721436
124,124,51.877323,20,28.839500904083252
125,125,42.748096000000004,15,28.97328495979309
126,126,47.189338,18,29.13106393814087
127,127,44.478578999999996,16,29.27066397666931
128,128,55.384556999999994,19,29.4328830242157
129,129,44.216345000000004,16,29.5820050239563
130,130,52.174439,21,29.761316061019897
131,131,45.966967,17,29.9068660736084
132,132,45.163681,17,30.082371950149536
133,133,44.478578999999996,16,30.223680019378662
134,134,42.748096000000004,15,30.359364986419678
135,135,44.478578999999996,16,30.4995219707489
136,136,46.227491,17,30.65265989303589
137,137,44.478578999999996,16,30.790889024734497
138,138,46.721019,17,30.941118955612183
139,139,43.976093,16,31.092735052108765
140,140,40.797872,14,31.216198921203613
141,141,48.047552,18,31.372798919677734
142,142,49.030111,20,31.54474401473999
143,143,40.07205,14,31.6733820438385
144,144,38.648787,13,31.792958974838257
145,145,44.478578999999996,16,31.944180965423584
146,146,42.258377,15,32.10364890098572
147,147,45.966967,17,32.25595188140869
148,148,49.030111,20,32.435182094573975
149,149,42.748096000000004,15,32.57120108604431
150,150,44.478578999999996,16,32.71051502227783
151,151,45.966967,17,32.85894989967346
152,152,44.171827,16,33.002321004867554
153,153,44.442735,17,33.1706120967865
154,154,49.995432,20,33.35585308074951
155,155,47.189338,18,33.50900101661682
156,156,40.87192,15,33.65211796760559
157,157,42.471757000000004,15,33.795105934143066
158,158,42.24217,15,33.93850898742676
159,159,44.505662,16,34.07561492919922
160,160,45.966967,17,34.22075796127319
161,161,45.966967,17,34.36853790283203
162,162,45.966967,17,34.516711950302124
163,163,40.797872,14,34.6415479183197
164,164,50.333795,20,34.82260203361511
165,165,45.966967,17,34.969072103500366
166,166,49.030111,20,35.14983606338501
167,167,49.030111,20,35.3318829536438
168,168,45.966967,17,35.49008297920227
169,169,46.714248,18,35.66543698310852
170,170,42.748096000000004,15,35.805049896240234
